5.18e+03,7.24e+01,3.35e+01,5.83e-01,6.45e+01,5.35e+01,5.92e-01,6.07e-01,7.55e+01,8.63e+01,9.57e+01,1.10e+01,1.10e+01
5.38e+03,7.51e+01,1.75e+01,5.75e-01,6.45e+01,7.85e+00,5.92e-01,6.78e-01,7.60e+01,8.63e+01,9.57e+01,1.10e+01,1.10e+01
5.57e+03,7.16e+01,7.97e+01,5.79e-01,6.45e+01,4.03e+00,5.92e-01,6.65e-01,7.80e+01,8.63e+01,9.57e+01,1.10e+01,1.00e+01
5.76e+03,7.16e+01,1.49e+02,5.76e-01,6.45e+01,1.85e+02,5.92e-01,6.21e-01,8.15e+01,8.63e+01,9.57e+01,1.10e+01,1.10e+01
5.95e+03,6.74e+01,9.67e+01,6.08e-01,6.45e+01,8.83e+01,5.92e-01,7.80e-01,7.86e+01,8.63e+01,9.57e+01,1.20e+01,1.20e+01
6.14e+03,6.88e+01,1.52e+02,6.54e-01,6.45e+01,3.02e+01,5.92e-01,7.73e-01,7.78e+01,8.63e+01,9.57e+01,1.10e+01,1.10e+01
6.34e+03,7.10e+01,3.35e+01,6.47e-01,6.45e+01,6.21e+01,5.92e-01,7.79e-01,7.42e+01,8.63e+01,9.57e+01,1.10e+01,1.10e+01
6.53e+03,7.19e+01,5.72e+01,6.95e-01,6.45e+01,1.86e+01,5.92e-01,7.33e-01,7.74e+01,8.63e+01,9.57e+01,1.20e+01,1.20e+01
6.72e+03,7.37e+01,1.02e+01,6.49e-01,6.45e+01,1.11e+00,5.92e-01,7.50e-01,7.59e+01,8.63e+01,9.57e+01,1.20e+01,1.10e+01
6.91e+03,7.26e+01,1.75e+01,6.78e-01,6.45e+01,8.75e+00,5.92e-01,7.35e-01,7.75e+01,8.63e+01,9.57e+01,1.20e+01,1.20e+01
7.10e+03,7.06e+01,2.27e+02,6.43e-01,1.40e+02,1.40e+02,7.54e-01,7.54e-01,8.71e+01,8.71e+01,1.03e+02,1.20e+01,1.10e+01
7.30e+03,7.29e+01,2.72e+01,6.32e-01,1.40e+02,3.04e+01,7.54e-01,7.32e-01,7.37e+01,8.71e+01,1.03e+02,1.10e+01,1.10e+01
7.49e+03,7.41e+01,8.18e+01,6.35e-01,1.40e+02,4.34e+01,7.54e-01,7.05e-01,8.06e+01,8.71e+01,1.03e+02,1.10e+01,1.10e+01
7.68e+03,6.73e+01,4.62e+01,6.43e-01,1.40e+02,5.87e+01,7.54e-01,7.59e-01,7.42e+01,8.71e+01,1.03e+02,1.20e+01,1.10e+01
7.87e+03,6.81e+01,5.79e+01,6.25e-01,1.40e+02,5.52e+01,7.54e-01,7.86e-01,7.30e+01,8.71e+01,1.03e+02,1.10e+01,1.10e+01
8.06e+03,7.57e+01,1.37e+02,6.27e-01,1.40e+02,1.10e+02,7.54e-01,6.91e-01,8.06e+01,8.71e+01,1.03e+02,1.10e+01,1.10e+01
8.26e+03,7.67e+01,2.31e+02,6.21e-01,1.40e+02,9.07e+01,7.54e-01,7.16e-01,8.64e+01,8.71e+01,1.03e+02,1.10e+01,1.00e+01
8.45e+03,5.82e+01,1.88e+02,6.72e-01,1.40e+02,1.32e+02,7.54e-01,7.07e-01,7.74e+01,8.71e+01,1.03e+02,1.10e+01,1.20e+01
8.64e+03,6.92e+01,1.06e+02,6.36e-01,1.40e+02,1.08e+02,7.54e-01,6.07e-01,7.11e+01,8.71e+01,1.03e+02,1.20e+01,1.10e+01
8.83e+03,7.57e+01,2.23e+01,6.39e-01,1.40e+02,1.17e+01,7.54e-01,6.26e-01,7.77e+01,8.71e+01,1.03e+02,1.10e+01,1.10e+01
9.02e+03,6.99e+01,1.35e+02,6.24e-01,1.40e+02,8.03e+01,7.54e-01,7.38e-01,7.54e+01,8.71e+01,1.03e+02,1.10e+01,1.10e+01
9.22e+03,7.45e+01,8.87e+01,6.35e-01,1.40e+02,8.66e+01,7.54e-01,6.77e-01,7.71e+01,8.71e+01,1.03e+02,1.10e+01,1.05e+01
9.41e+03,6.35e+01,1.78e+02,6.29e-01,1.40e+02,1.79e+02,7.54e-01,6.47e-01,7.19e+01,8.71e+01,1.03e+02,1.10e+01,1.10e+01
9.60e+03,6.75e+01,1.02e+02,6.21e-01,1.40e+02,5.61e+01,7.54e-01,6.70e-01,7.39e+01,8.71e+01,1.03e+02,1.10e+01,1.10e+01
9.79e+03,7.36e+01,1.57e+02,6.24e-01,1.40e+02,2.92e+01,7.54e-01,7.43e-01,7.74e+01,8.71e+01,1.03e+02,1.10e+01,1.10e+01
9.98e+03,7.65e+01,1.54e+02,6.47e-01,1.40e+02,1.20e+02,7.54e-01,7.04e-01,8.10e+01,8.71e+01,1.03e+02,1.10e+01,1.00e+01
1.02e+04,6.91e+01,9.58e+01,6.74e-01,1.40e+02,2.69e+01,7.54e-01,7.21e-01,7.81e+01,8.71e+01,1.03e+02,1.20e+01,1.20e+01
1.04e+04,7.26e+01,5.11e+00,6.42e-01,1.40e+02,1.66e+01,7.54e-01,6.73e-01,7.52e+01,8.71e+01,1.03e+02,1.20e+01,1.20e+01
1.06e+04,7.02e+01,5.48e+01,7.08e-01,1.40e+02,1.44e+01,7.54e-01,8.35e-01,8.11e+01,8.71e+01,1.03e+02,1.20e+01,1.35e+01
