1.18e+01,2.65e+01,2.60e+01
1.49e+01,2.16e+01,2.30e+01
9.47e+00,2.18e+01,1.40e+01
6.59e+00,2.18e+01,2.40e+01
1.82e+01,2.01e+01,3.50e+01
1.83e+01,2.01e+01,2.20e+01
1.90e+01,2.01e+01,3.10e+01
8.23e+00,1.82e+01,2.00e+01
1.30e+01,2.01e+01,2.80e+01
1.17e+01,2.00e+01,2.80e+01
1.37e+01,2.22e+01,1.80e+01
1.43e+01,2.06e+01,2.40e+01
1.54e+01,2.29e+01,2.80e+01
2.08e+01,2.33e+01,2.20e+01
1.72e+01,2.01e+01,2.80e+01
1.74e+01,2.01e+01,2.70e+01
6.69e+00,2.06e+01,2.70e+01
7.42e+00,2.01e+01,1.90e+01
9.36e+00,2.81e+01,2.40e+01
1.83e+01,2.01e+01,2.80e+01
1.77e+01,2.01e+01,2.60e+01
1.97e+00,1.93e+01,2.00e+01
1.07e+01,2.01e+01,2.30e+01
1.59e+01,2.01e+01,1.80e+01
1.26e+01,2.01e+01,2.20e+01
1.57e+01,1.92e+01,2.90e+01
1.54e+01,2.03e+01,2.20e+01
1.89e+01,2.14e+01,2.80e+01
1.71e+01,2.14e+01,1.60e+01
1.66e+01,2.01e+01,2.40e+01
-1.43e+00,1.97e+01,2.70e+01
1.60e+01,2.00e+01,2.00e+01
1.46e+01,1.99e+01,3.10e+01
1.42e+01,2.16e+01,2.40e+01
1.45e+01,2.01e+01,3.50e+01
1.35e+01,2.26e+01,2.80e+01
1.49e+01,1.99e+01,2.70e+01
1.72e+01,2.01e+01,2.00e+01
1.93e+01,2.01e+01,1.90e+01
5.82e+00,2.24e+01,1.50e+01
1.52e+01,2.01e+01,2.50e+01
1.71e+01,1.96e+01,2.50e+01
1.23e+01,2.01e+01,2.20e+01
1.00e+01,2.15e+01,2.50e+01
-6.01e+00,7.67e+00,2.80e+01
1.61e+01,2.16e+01,2.50e+01
1.15e+01,2.18e+01,2.80e+01
5.01e+00,2.05e+01,2.00e+01
1.62e+01,2.16e+01,2.10e+01
